Mức giá,Diện tích,Số phòng ngủ,"Số phòng tắm, vệ sinh",Đường vào,Huyện,Tỉnh
3500000000.0,60.0,3,4,,Bình Tân,Hồ Chí Minh
2800000000.0,120.0,2,1,8.0,Buôn Ma Thuột,Đắk Lắk
8250000000.0,60.0,4,4,3.5,Long Biên,Hà Nội
5450000000.0,39.0,5,4,2.5,Thanh Trì,Hà Nội
5950000000.0,30.0,3,4,,Long Biên,Hà Nội
6500000000.0,63.0,3,3,5.0,Tân Phú,Hồ Chí Minh
4500000000.0,45.0,5,5,3.0,Thanh Trì,Hà Nội
6100000000.0,51.5,3,4,4.0,Gò Vấp,Hồ Chí Minh
7500000000.0,50.0,5,4,,Hoàng Mai,Hà Nội
21000000000.0,129.0,4,2,12.0,Gia Lâm,Hà Nội
8500000000.0,33.0,3,4,,Hai Bà Trưng,Hà Nội
16500000000.0,75.0,4,4,,Sơn Trà,Đà Nẵng
11500000000.0,40.0,3,4,3.4,Tây Hồ,Hà Nội
8000000000.0,38.0,10,10,,Nam Từ Liêm,Hà Nội
7800000000.0,38.0,3,4,4.0,Gò Vấp,Hồ Chí Minh
6800000000.0,44.0,3,4,,Gò Vấp,Hồ Chí Minh
13800000000.0,62.0,17,17,,Bắc Từ Liêm,Hà Nội
6260000000.0,26.0,3,4,3.0,Hoàng Mai,Hà Nội
2780000000.0,31.0,3,3,10.0,Chương Mỹ,Hà Nội
5950000000.0,51.0,4,3,,Nhà Bè,Hồ Chí Minh
9800000000.0,41.0,3,4,3.7,Long Biên,Hà Nội
6200000000.0,52.0,3,3,4.0,Gò Vấp,Hồ Chí Minh
3000000000.0,56.0,4,5,7.0,Bình Tân,Hồ Chí Minh
8800000000.0,30.0,4,4,8.0,Đống Đa,Hà Nội
1750000000.0,81.0,3,2,12.0,Biên Hòa,Đồng Nai
8500000000.0,55.0,4,4,4.0,Long Biên,Hà Nội
8900000000.0,75.0,3,4,5.5,Sơn Trà,Đà Nẵng
5500000000.0,3000.0,4,4,,Nha Trang,Khánh Hòa
8950000000.0,40.0,4,3,3.0,Tây Hồ,Hà Nội
5650000000.0,53.3,3,3,5.0,Thủ Đức,Hồ Chí Minh
3600000000.0,115.0,5,3,,Bình Xuyên,Vĩnh Phúc
6850000000.0,36.0,4,3,2.0,Ba Đình,Hà Nội
3900000000.0,200.0,5,4,5.0,Chương Mỹ,Hà Nội
2750000000.0,63.0,2,2,6.0,Biên Hòa,Đồng Nai
3600000000.0,30.0,1,1,3.0,Hai Bà Trưng,Hà Nội
4200000000.0,55.0,4,3,3.6,Lê Chân,Hải Phòng
7900000000.0,34.0,4,4,3.0,Ba Đình,Hà Nội
5000000000.0,30.0,3,4,,Hoài Đức,Hà Nội
24000000000.0,76.36,4,4,12.0,Quận 1,Hồ Chí Minh
6800000000.0,80.0,4,5,5.0,Quận 12,Hồ Chí Minh
36900000000.0,150.0,20,22,7.0,Quận 7,Hồ Chí Minh
4600000000.0,59.0,3,2,3.0,Gò Vấp,Hồ Chí Minh
4450000000.0,42.0,3,3,,Bình Thạnh,Hồ Chí Minh
42000000000.0,90.0,4,4,,Hoàng Mai,Hà Nội
11700000000.0,63.1,2,1,3.0,Cầu Giấy,Hà Nội
16000000000.0,71.0,14,14,4.0,Hoàng Mai,Hà Nội
26400000000.0,95.2,4,4,,Quận 2,Hồ Chí Minh
7800000000.0,30.0,3,5,,Cầu Giấy,Hà Nội
12200000000.0,42.0,4,4,8.0,Đống Đa,Hà Nội
6400000000.0,54.0,4,5,8.0,Nhà Bè,Hồ Chí Minh
20000000000.0,200.0,4,3,13.0,Tân Bình,Hồ Chí Minh
19500000000.0,51.0,5,5,,Long Biên,Hà Nội
7400000000.0,90.0,2,2,8.0,Thủ Đức,Hồ Chí Minh
14800000000.0,48.0,3,5,6.0,Tây Hồ,Hà Nội
6000000000.0,50.0,5,4,3.5,Hoài Đức,Hà Nội
5300000000.0,81.0,3,3,,Quận 7,Hồ Chí Minh
12500000000.0,242.0,4,4,,Bình Chánh,Hồ Chí Minh
5130000000.0,46.0,6,4,6.0,Hà Đông,Hà Nội
11660000000.0,100.0,4,4,12.0,Thủ Đức,Hồ Chí Minh
4900000000.0,144.0,4,4,6.0,Thuận An,Bình Dương
19500000000.0,90.0,22,22,2.5,Nam Từ Liêm,Hà Nội
11500000000.0,72.0,4,4,3.0,Quận 3,Hồ Chí Minh
1860000000.0,126.5,3,1,6.0,Bình Chánh,Hồ Chí Minh
28000000000.0,871.1,7,4,8.0,Hội An,Quảng Nam
17000000000.0,80.0,4,4,2.0,Cầu Giấy,Hà Nội
6200000000.0,32.0,3,3,2.0,Hai Bà Trưng,Hà Nội
4500000000.0,60.0,4,4,7.0,Dĩ An,Bình Dương
12500000000.0,60.0,6,4,2.5,Tây Hồ,Hà Nội
12800000000.0,90.0,5,4,3.0,Cầu Giấy,Hà Nội
7600000000.0,50.0,5,3,6.0,Gò Vấp,Hồ Chí Minh
91000000000.0,162.0,18,18,5.0,Tây Hồ,Hà Nội
4700000000.0,82.0,3,2,8.0,Hóc Môn,Hồ Chí Minh
12500000000.0,50.0,4,4,5.0,Thanh Trì,Hà Nội
7300000000.0,40.0,5,3,3.0,Hai Bà Trưng,Hà Nội
26800000000.0,116.5,28,28,,Nam Từ Liêm,Hà Nội
15000000000.0,50.0,4,5,6.0,Long Biên,Hà Nội
3100000000.0,58.0,4,4,2.2,Gia Lâm,Hà Nội
5500000000.0,54.0,3,2,,Gò Vấp,Hồ Chí Minh
12500000000.0,50.0,10,4,,Hoàn Kiếm,Hà Nội
14500000000.0,68.0,6,4,6.5,Long Biên,Hà Nội
8400000000.0,63.0,4,4,12.0,Gò Vấp,Hồ Chí Minh
3350000000.0,36.0,4,3,5.0,Hồng Bàng,Hải Phòng
14500000000.0,168.2,7,8,,Gò Vấp,Hồ Chí Minh
9500000000.0,80.0,6,2,,Tân Bình,Hồ Chí Minh
2900000000.0,21.0,2,2,4.0,Gò Vấp,Hồ Chí Minh
15000000000.0,56.0,3,5,13.5,Long Biên,Hà Nội
8350000000.0,85.0,4,4,,Tân Bình,Hồ Chí Minh
6850000000.0,52.0,4,4,3.5,Tân Bình,Hồ Chí Minh
12500000000.0,50.5,4,4,4.0,Tây Hồ,Hà Nội
13500000000.0,66.0,14,14,,Bắc Từ Liêm,Hà Nội
4950000000.0,64.0,2,3,6.0,Bình Tân,Hồ Chí Minh
16500000000.0,90.0,4,4,,Long Biên,Hà Nội
5600000000.0,25.0,2,3,2.5,Hai Bà Trưng,Hà Nội
7900000000.0,37.0,4,5,,Ba Đình,Hà Nội
12700000000.0,75.0,4,4,4.0,Hoàng Mai,Hà Nội
1490000000.0,125.0,2,1,6.0,Chợ Gạo,Tiền Giang
10500000000.0,84.0,4,5,,Gò Vấp,Hồ Chí Minh
6480000000.0,30.0,2,3,3.0,Hai Bà Trưng,Hà Nội
25000000000.0,95.0,25,25,,Đống Đa,Hà Nội
15800000000.0,76.0,18,18,,Cầu Giấy,Hà Nội
8500000000.0,56.0,4,5,8.0,Tân Phú,Hồ Chí Minh
7400000000.0,100.0,2,2,,Thủ Đức,Hồ Chí Minh
11500000000.0,78.0,6,4,,Nam Từ Liêm,Hà Nội
4000000000.0,36.5,3,3,4.0,Hoài Đức,Hà Nội
5860000000.0,42.0,2,2,3.5,Hoàng Mai,Hà Nội
5800000000.0,45.0,4,4,,Đống Đa,Hà Nội
5750000000.0,35.0,4,4,,Long Biên,Hà Nội
26000000000.0,60.0,4,4,7.0,Thanh Xuân,Hà Nội
17900000000.0,85.0,21,21,,Cầu Giấy,Hà Nội
250000000000.0,4000.0,4,4,20.0,Hóc Môn,Hồ Chí Minh
19330000000.0,52.0,4,4,,Cầu Giấy,Hà Nội
21500000000.0,58.0,4,4,,Cầu Giấy,Hà Nội
26000000000.0,312.0,4,4,20.0,Cầu Giấy,Hà Nội
3850000000.0,65.0,4,5,7.0,Bình Thạnh,Hồ Chí Minh
4000000000.0,100.0,4,4,,Thanh Hóa,Thanh Hóa
7500000000.0,26.0,3,3,5.0,Đống Đa,Hà Nội
4250000000.0,40.6,2,2,3.0,Hà Đông,Hà Nội
9000000000.0,45.0,4,4,,Hoàng Mai,Hà Nội
15500000000.0,151.0,4,4,,Hóc Môn,Hồ Chí Minh
14700000000.0,45.0,5,4,,Hai Bà Trưng,Hà Nội
25700000000.0,79.0,4,5,4.0,Đống Đa,Hà Nội
45000000000.0,160.0,42,42,6.0,Thanh Xuân,Hà Nội
8500000000.0,32.0,3,4,2.0,Hai Bà Trưng,Hà Nội
12000000000.0,79.0,4,4,,Hà Đông,Hà Nội
11000000000.0,76.0,5,5,8.0,Quận 7,Hồ Chí Minh
7500000000.0,48.0,7,5,,Phú Nhuận,Hồ Chí Minh
6300000000.0,71.0,4,4,,Quận 9,Hồ Chí Minh
10800000000.0,52.2,4,4,5.0,Quận 3,Hồ Chí Minh
5600000000.0,40.0,3,4,2.5,Hoàng Mai,Hà Nội
7150000000.0,50.0,4,3,3.0,Hà Đông,Hà Nội
5100000000.0,35.0,4,5,4.0,Hoài Đức,Hà Nội
26300000000.0,70.0,4,4,,Cầu Giấy,Hà Nội
3550000000.0,24.0,3,3,,Tân Phú,Hồ Chí Minh
15000000000.0,56.0,3,4,25.0,Long Biên,Hà Nội
2250000000.0,98.0,3,2,,Vĩnh Cửu,Đồng Nai
13500000000.0,68.0,4,3,,Cầu Giấy,Hà Nội
14500000000.0,69.0,4,5,5.0,Hoàng Mai,Hà Nội
14800000000.0,70.0,4,5,5.0,Hoàng Mai,Hà Nội
4099999999.9999995,100.0,3,1,6.0,Thủ Dầu Một,Bình Dương
4250000000.0,54.0,4,3,,Lê Chân,Hải Phòng
6800000000.0,45.0,3,3,,Đống Đa,Hà Nội
3550000000.0,93.0,5,2,4.0,Thủ Dầu Một,Bình Dương
6000000000.0,134.0,4,3,5.5,Liên Chiểu,Đà Nẵng
3250000000.0,47.0,3,3,5.0,Thanh Oai,Hà Nội
3250000000.0,68.5,3,4,4.0,Nha Trang,Khánh Hòa
7850000000.0,34.0,3,3,,Hà Đông,Hà Nội
4950000000.0,141.0,4,3,5.0,Thủ Dầu Một,Bình Dương
3700000000.0,43.8,4,3,2.5,Thanh Oai,Hà Nội
9500000000.0,74.0,6,4,,Bình Thạnh,Hồ Chí Minh
2900000000.0,15.0,2,3,2.0,Đống Đa,Hà Nội
6900000000.0,60.0,4,4,2.0,Đống Đa,Hà Nội
33500000000.0,90.0,16,17,,Cầu Giấy,Hà Nội
5600000000.0,36.0,2,2,10.0,Gò Vấp,Hồ Chí Minh
5500000000.0,42.1,4,3,3.0,Đan Phượng,Hà Nội
7400000000.0,72.0,4,4,,Ba Đình,Hà Nội
21800000000.0,74.0,4,4,6.0,Long Biên,Hà Nội
6050000000.0,57.0,4,5,10.0,Quận 12,Hồ Chí Minh
10900000000.0,60.0,2,2,6.0,Quận 3,Hồ Chí Minh
9250000000.0,55.0,4,5,4.0,Long Biên,Hà Nội
5800000000.0,38.0,4,3,2.5,Long Biên,Hà Nội
15800000000.0,61.0,7,8,11.0,Thanh Xuân,Hà Nội
3150000000.0,28.0,2,3,2.5,Bắc Từ Liêm,Hà Nội
21000000000.0,55.0,4,4,5.0,Cầu Giấy,Hà Nội
5790000000.0,45.0,2,2,,Quận 7,Hồ Chí Minh
12700000000.0,62.0,4,4,,Hai Bà Trưng,Hà Nội
8100000000.0,60.0,4,4,8.0,Tân Phú,Hồ Chí Minh
12500000000.0,41.0,4,5,,Đống Đa,Hà Nội
8300000000.000001,45.0,1,1,,Hà Đông,Hà Nội
5800000000.0,63.0,3,2,2.0,Long Biên,Hà Nội
8449999999.999999,40.0,4,4,,Nam Từ Liêm,Hà Nội
12400000000.0,113.0,5,6,10.0,Tân Bình,Hồ Chí Minh
14500000000.0,43.0,5,4,4.5,Hai Bà Trưng,Hà Nội
110000000000.0,110.0,21,4,110.0,Hai Bà Trưng,Hà Nội
6900000000.0,79.1,4,4,8.5,Ninh Kiều,Cần Thơ
13500000000.0,60.0,4,5,6.0,Bắc Từ Liêm,Hà Nội
21000000000.0,94.0,4,4,,Đống Đa,Hà Nội
5990000000.0,65.0,4,2,6.0,Quận 11,Hồ Chí Minh
8900000000.0,88.0,4,4,,Bình Tân,Hồ Chí Minh
5800000000.0,72.0,4,4,4.0,Bình Tân,Hồ Chí Minh
15900000000.0,61.0,8,10,10.0,Thanh Xuân,Hà Nội
28500000.0,60.0,6,5,8.0,Nam Từ Liêm,Hà Nội
3950000000.0,133.0,4,4,6.0,Biên Hòa,Đồng Nai
9300000000.0,55.0,4,4,,Cầu Giấy,Hà Nội
8500000000.0,43.0,4,4,,Ba Đình,Hà Nội
5500000000.0,67.5,2,2,,Thủ Đức,Hồ Chí Minh
20700000000.0,42.0,6,5,,Đống Đa,Hà Nội
29000000000.0,72.0,8,4,18.0,Hà Đông,Hà Nội
19900000000.0,185.0,18,19,,Gò Vấp,Hồ Chí Minh
14660000000.0,65.0,4,6,4.0,Tây Hồ,Hà Nội
7790000000.0,60.0,5,4,4.0,Long Biên,Hà Nội
11700000000.0,100.0,4,4,,Thủ Đức,Hồ Chí Minh
6300000000.0,33.0,4,4,,Hoàng Mai,Hà Nội
22900000000.0,75.0,17,18,12.0,Nam Từ Liêm,Hà Nội
7900000000.0,45.0,4,4,,Hai Bà Trưng,Hà Nội
5800000000.0,36.0,3,4,3.0,Long Biên,Hà Nội
5300000000.0,95.0,4,4,3.0,Quận 8,Hồ Chí Minh
6450000000.0,40.0,5,3,50.0,Hoàng Mai,Hà Nội
11900000000.0,50.0,4,4,12.0,Hà Đông,Hà Nội
7200000000.0,53.0,5,6,10.0,Quận 8,Hồ Chí Minh
4600000000.0,45.0,2,2,4.0,Thủ Đức,Hồ Chí Minh
7990000000.0,60.0,5,5,5.0,Gò Vấp,Hồ Chí Minh
10000000000.0,100.0,8,9,52.0,Bình Chánh,Hồ Chí Minh
5700000000.0,38.0,5,4,2.5,Long Biên,Hà Nội
5800000000.0,40.0,3,1,,Hà Đông,Hà Nội
12900000000.0,100.0,5,6,16.0,Bình Tân,Hồ Chí Minh
11900000000.0,63.0,4,4,5.0,Phú Nhuận,Hồ Chí Minh
6870000000.0,24.0,3,3,4.0,Đống Đa,Hà Nội
4850000000.0,50.0,4,3,6.0,Thanh Trì,Hà Nội
6700000000.0,42.0,3,4,4.0,Gia Lâm,Hà Nội
5700000000.0,65.0,5,5,3.0,Gò Vấp,Hồ Chí Minh
5650000000.0,80.0,7,7,6.0,Bình Tân,Hồ Chí Minh
5000000000.0,56.0,4,4,,Nhà Bè,Hồ Chí Minh
22400000000.0,55.0,5,6,8.0,Cầu Giấy,Hà Nội
5900000000.0,100.0,4,3,8.0,Quận 12,Hồ Chí Minh
21400000000.0,120.0,2,2,30.0,Tân Bình,Hồ Chí Minh
11900000000.0,54.0,6,5,3.0,Thanh Xuân,Hà Nội
7400000000.0,55.0,4,4,2.0,Thanh Trì,Hà Nội
15900000000.0,61.0,8,9,12.0,Thanh Xuân,Hà Nội
8500000000.0,93.0,4,2,,Thủ Đức,Hồ Chí Minh
14500000000.0,68.0,9,9,,Thanh Xuân,Hà Nội
2900000000.0,90.0,2,1,4.0,Ninh Kiều,Cần Thơ
9300000000.0,62.0,4,2,,Hoàng Mai,Hà Nội
8500000000.0,68.0,4,3,4.0,Gò Vấp,Hồ Chí Minh
17500000000.0,143.5,6,6,8.0,Bình Thạnh,Hồ Chí Minh
8700000000.0,30.0,4,4,7.0,Bình Thạnh,Hồ Chí Minh
8199999999.999999,112.0,4,4,12.0,Quận 12,Hồ Chí Minh
1950000000.0,65.0,2,1,3.0,Huế,Thừa Thiên Huế
12000000000.0,70.0,6,4,6.0,Long Biên,Hà Nội
108000000000.0,140.0,4,4,,Hai Bà Trưng,Hà Nội
19100000000.0,60.0,4,4,5.0,Cầu Giấy,Hà Nội
7500000000.0,114.0,3,3,10.0,Cái Răng,Cần Thơ
1550000000.0,20.0,2,2,3.0,Thủ Đức,Hồ Chí Minh
3200000000.0,22.0,2,2,4.0,Gò Vấp,Hồ Chí Minh
11000000000.0,60.0,4,4,5.5,Ngũ Hành Sơn,Đà Nẵng
19800000000.0,55.0,3,4,6.0,Ba Đình,Hà Nội
4600000000.0,30.0,2,2,,Quận 6,Hồ Chí Minh
9300000000.0,56.0,4,4,,Hoài Đức,Hà Nội
2690000000.0,110.0,3,2,6.0,Biên Hòa,Đồng Nai
5100000000.0,256.0,6,3,6.0,Biên Hòa,Đồng Nai
18000000000.0,50.2,4,3,4.0,Hoàng Mai,Hà Nội
13000000000.0,50.0,4,4,8.0,Đống Đa,Hà Nội
2550000000.0,46.0,2,2,4.0,Nhà Bè,Hồ Chí Minh
12200000000.0,47.0,4,4,,Thanh Xuân,Hà Nội
7000000000.0,35.0,3,4,4.0,Long Biên,Hà Nội
15900000000.0,65.0,4,4,6.0,Thanh Xuân,Hà Nội
7600000000.0,42.0,4,4,5.0,Long Biên,Hà Nội
18800000000.0,90.0,23,23,,Nam Từ Liêm,Hà Nội
15700000000.0,120.0,5,5,12.0,Thủ Đức,Hồ Chí Minh
12500000000.0,50.0,6,4,5.0,Bắc Từ Liêm,Hà Nội
1050000000.0,48.0,3,2,5.0,Thuận An,Bình Dương
21000000000.0,70.0,4,4,,Đống Đa,Hà Nội
5200000000.0,35.0,3,4,3.0,Hoài Đức,Hà Nội
19100000000.0,97.0,29,29,,Thanh Xuân,Hà Nội
24000000000.0,100.0,9,7,,Nam Từ Liêm,Hà Nội
29000000000.0,50.5,13,8,15.0,Đống Đa,Hà Nội
41500000000.0,121.0,4,4,,Ba Đình,Hà Nội
8000000000.0,40.0,4,4,,Tây Hồ,Hà Nội
8260000000.0,58.8,6,4,8.0,Bình Tân,Hồ Chí Minh
5600000000.0,50.0,3,3,5.0,Sơn Trà,Đà Nẵng
25000000000.0,95.0,4,3,5.0,Ba Đình,Hà Nội
23500000000.0,265.0,4,4,7.0,Quận 11,Hồ Chí Minh
13800000000.0,62.0,6,4,5.0,Quận 10,Hồ Chí Minh
16000000000.0,52.0,5,7,6.0,Thanh Xuân,Hà Nội
6500000000.0,64.0,4,4,6.0,Bình Tân,Hồ Chí Minh
5000000000.0,64.0,5,5,8.0,Bình Tân,Hồ Chí Minh
20000000000.0,108.0,16,16,,Nam Từ Liêm,Hà Nội
18900000000.0,60.0,4,4,5.0,Thanh Trì,Hà Nội
5580000000.0,38.0,4,3,3.0,Đống Đa,Hà Nội
14500000000.0,84.0,3,3,2.5,Quận 1,Hồ Chí Minh
8600000000.0,120.0,7,5,8.0,Gò Vấp,Hồ Chí Minh
3950000000.0,330.0,20,20,6.0,Củ Chi,Hồ Chí Minh
8500000000.0,43.0,6,4,2.0,Hai Bà Trưng,Hà Nội
3800000000.0,30.0,3,4,2.5,Hoài Đức,Hà Nội
2000000000.0,64.8,4,4,,Lào Cai,Lào Cai
5500000000.0,30.0,3,4,3.0,Hà Đông,Hà Nội
7500000000.0,35.0,3,4,,Hoàng Mai,Hà Nội
25600000000.0,95.0,3,3,4.5,Đống Đa,Hà Nội
9790000000.0,32.0,3,4,10.0,Quận 10,Hồ Chí Minh
4900000000.0,50.0,4,4,2.5,Hồng Bàng,Hải Phòng
12000000000.0,45.0,4,5,,Cầu Giấy,Hà Nội
7990000000.0,76.0,3,2,5.0,Bình Thạnh,Hồ Chí Minh
8380000000.000001,45.0,4,4,,Ba Đình,Hà Nội
17000000000.0,155.0,4,4,6.0,Gò Vấp,Hồ Chí Minh
11800000000.0,95.0,2,2,5.0,Bình Thạnh,Hồ Chí Minh
21000000000.0,66.0,6,6,,Đống Đa,Hà Nội
14000000000.0,101.0,4,4,8.0,Tân Bình,Hồ Chí Minh
14800000000.0,65.0,17,17,,Đống Đa,Hà Nội
2690000000.0,62.0,3,3,6.0,Phú Nhuận,Hồ Chí Minh
6850000000.0,50.0,4,5,3.0,Quận 7,Hồ Chí Minh
25500000000.0,60.0,5,7,,Đống Đa,Hà Nội
25000000000.0,84.0,6,5,5.0,Ba Đình,Hà Nội
16500000000.0,52.0,12,12,4.0,Nam Từ Liêm,Hà Nội
51500000000.0,100.0,22,24,8.0,Tây Hồ,Hà Nội
6250000000.0,34.0,4,4,5.0,Hoàng Mai,Hà Nội
13000000000.0,60.0,8,5,5.0,Hoàng Mai,Hà Nội
20900000000.0,50.0,5,5,3.0,Ba Đình,Hà Nội
8780000000.0,50.0,3,3,8.0,Tân Bình,Hồ Chí Minh
110000000000.0,346.0,48,48,3.0,Tây Hồ,Hà Nội
8600000000.0,113.0,3,4,7.0,Ngũ Hành Sơn,Đà Nẵng
22000000000.0,157.0,32,33,,Quận 8,Hồ Chí Minh
15500000000.0,113.0,14,15,,Nha Trang,Khánh Hòa
14400000000.0,66.0,4,4,5.0,Cầu Giấy,Hà Nội
6700000000.0,41.0,3,4,,Ba Đình,Hà Nội
3250000000.0,40.0,4,3,2.5,Hà Đông,Hà Nội
2800000000.0,250.0,4,3,21.0,Sìn Hồ,Lai Châu
3350000000.0,40.0,1,4,,Gia Lâm,Hà Nội
3850000000.0,45.0,4,3,,Hà Đông,Hà Nội
5500000000.0,186.0,4,3,,Thủ Dầu Một,Bình Dương
4880000000.0,21.0,4,4,4.0,Quận 5,Hồ Chí Minh
15500000000.0,55.0,6,4,8.0,Thanh Xuân,Hà Nội
16000000000.0,45.0,6,5,10.0,Thanh Xuân,Hà Nội
6900000000.0,103.0,5,6,4.0,Ngô Quyền,Hải Phòng
9800000000.0,115.0,4,4,8.0,Thủ Đức,Hồ Chí Minh
5500000000.0,40.0,3,4,6.0,Thanh Trì,Hà Nội
3650000000.0,34.0,3,4,2.5,Hà Đông,Hà Nội
5200000000.0,77.0,3,2,6.0,Quận 9,Hồ Chí Minh
6600000000.0,32.0,3,3,3.0,Ba Đình,Hà Nội
5850000000.0,58.3,3,3,,Ngô Quyền,Hải Phòng
19000000000.0,60.0,4,4,,Cầu Giấy,Hà Nội
7250000000.0,90.0,4,4,7.5,Liên Chiểu,Đà Nẵng
5400000000.0,36.0,3,4,3.5,Long Biên,Hà Nội
29500000000.0,96.0,7,8,,Thanh Xuân,Hà Nội
5500000000.0,186.8,4,3,5.0,Thủ Dầu Một,Bình Dương
20500000000.0,82.0,4,4,,Đống Đa,Hà Nội
9000000000.0,50.0,5,5,2.0,Hai Bà Trưng,Hà Nội
1750000000.0,38.0,2,2,3.0,Quận 7,Hồ Chí Minh
4400000000.0,50.0,2,2,3.0,Thủ Đức,Hồ Chí Minh
7500000000.0,35.0,4,3,3.5,Nam Từ Liêm,Hà Nội
7500000000.0,80.0,7,7,10.0,Quận 9,Hồ Chí Minh
11900000000.0,34.0,4,6,6.0,Tây Hồ,Hà Nội
10000000000.0,84.35,4,4,,Gò Vấp,Hồ Chí Minh
8000000000.0,45.0,4,5,3.0,Nam Từ Liêm,Hà Nội
8000000000.0,61.0,4,3,,Nam Từ Liêm,Hà Nội
3650000000.0,100.0,4,4,5.5,Liên Chiểu,Đà Nẵng
15200000000.0,59.0,16,16,,Hà Đông,Hà Nội
6890000000.0,48.8,2,4,,Quận 11,Hồ Chí Minh
7990000000.0,68.0,5,5,6.0,Thủ Đức,Hồ Chí Minh
8300000000.000001,30.0,3,4,,Hà Đông,Hà Nội
7500000000.0,30.0,4,3,,Bình Thạnh,Hồ Chí Minh
17500000000.0,102.0,4,4,,Nam Từ Liêm,Hà Nội
3800000000.0,83.0,3,2,8.0,Dĩ An,Bình Dương
5000000000.0,56.0,4,4,,Long Biên,Hà Nội
7600000000.0,72.0,4,4,,Quận 12,Hồ Chí Minh
6200000000.0,38.0,6,4,3.0,Tây Hồ,Hà Nội
11900000000.0,79.0,5,7,5.0,Gò Vấp,Hồ Chí Minh
11900000000.0,40.0,3,3,3.0,Hai Bà Trưng,Hà Nội
5400000000.0,45.0,3,4,5.0,Sơn Trà,Đà Nẵng
18000000000.0,60.0,4,4,,Hà Đông,Hà Nội
26000000000.0,262.7,4,4,4.0,Bình Thạnh,Hồ Chí Minh
11800000000.0,34.0,4,6,5.0,Nam Từ Liêm,Hà Nội
11700000000.0,30.2,4,4,,Tây Hồ,Hà Nội
6790000000.0,56.25,3,4,2.8,Đông Anh,Hà Nội
15000000000.0,92.8,4,4,,Nha Trang,Khánh Hòa
18300000000.0,210.0,4,4,,Hà Đông,Hà Nội
9250000000.0,28.0,3,5,,Bắc Từ Liêm,Hà Nội
7790000000.0,120.0,5,6,10.0,Quận 8,Hồ Chí Minh
13500000000.0,127.0,6,8,12.0,Bình Tân,Hồ Chí Minh
5980000000.0,30.0,3,4,3.0,Long Biên,Hà Nội
6250000000.0,39.6,4,3,2.5,Phú Nhuận,Hồ Chí Minh
7250000000.0,84.5,4,4,7.5,Liên Chiểu,Đà Nẵng
13400000000.0,45.0,3,5,5.0,Long Biên,Hà Nội
10500000000.0,75.0,2,1,5.5,Ngũ Hành Sơn,Đà Nẵng
4500000000.0,60.0,4,4,,Tân Phú,Hồ Chí Minh
35000000000.0,51.0,4,9,,Đống Đa,Hà Nội
4150000000.0000005,125.0,2,1,5.0,Dĩ An,Bình Dương
8500000000.0,60.0,4,3,3.0,Ba Đình,Hà Nội
5380000000.0,18.0,3,3,3.0,Hai Bà Trưng,Hà Nội
