Giá,Diện tích,Số phòng ngủ,Số nhà vệ sinh,Huyện,Tỉnh
9200000000.0,117.8,4.0,4.0,Sơn Trà,Đà Nẵng
12000000000.0,96.0,3.0,2.0,Quận 2,Hồ Chí Minh
23500000000.0,122.0,0.0,0.0,Hoài Đức,Hà Nội
22000000000.0,80.0,0.0,0.0,Đông Anh,Hà Nội
4510000000.0,70.3,2.0,2.0,Gia Lâm,Hà Nội
7100000000.0,49.0,1.0,1.0,Quận 1,Hồ Chí Minh
8500000000.0,68.0,0.0,0.0,Văn Giang,Hưng Yên
3950000000.0,47.0,0.0,0.0,Đông Anh,Hà Nội
12800000000.0,94.0,2.0,2.0,Quận 2,Hồ Chí Minh
5800000000.0,65.0,2.0,2.0,Quận 2,Hồ Chí Minh
5500000000.0,85.0,2.0,2.0,Tân Phú,Hồ Chí Minh
2400000000.0,48.0,2.0,2.0,Quận 9,Hồ Chí Minh
162000000000.0,270.0,0.0,0.0,Tây Hồ,Hà Nội
2800000000.0,68.0,2.0,2.0,Quận 9,Hồ Chí Minh
2840000000.0,68.0,2.0,2.0,Quận 9,Hồ Chí Minh
3650000000.0,68.0,2.0,2.0,Hoàng Mai,Hà Nội
11810000000.0,118.6,3.0,2.0,Sơn Trà,Đà Nẵng
18000000000.0,24000.0,0.0,0.0,Định Quán,Đồng Nai
18300000000.0,63.0,0.0,0.0,Đông Anh,Hà Nội
2280000000.0,47.0,1.0,1.0,Quận 9,Hồ Chí Minh
19000000000.0,80.0,0.0,0.0,Đông Anh,Hà Nội
1630000000.0,55.6,2.0,1.0,Dĩ An,Bình Dương
18000000000.0,62.5,5.0,5.0,Đông Anh,Hà Nội
9000000000.0,77.0,2.0,2.0,Quận 2,Hồ Chí Minh
5600000000.0,88.0,2.0,2.0,Sơn Trà,Đà Nẵng
8199999999.999999,120.0,3.0,4.0,Từ Sơn,Bắc Ninh
25000000000.0,182.0,6.0,6.0,Văn Giang,Hưng Yên
5800000000.0,100.0,3.0,3.0,Hoàng Mai,Hà Nội
4099999999.9999995,82.0,2.0,2.0,Hải Châu,Đà Nẵng
2610000000.0,61.6,2.0,2.0,Quận 9,Hồ Chí Minh
8900000000.0,74.2,2.0,2.0,Quận 2,Hồ Chí Minh
3050000000.0,68.0,2.0,2.0,Quận 8,Hồ Chí Minh
20000000000.0,110.0,3.0,2.0,Quận 2,Hồ Chí Minh
24300000000.0,180.0,0.0,0.0,Văn Giang,Hưng Yên
30000000000.0,150.0,0.0,0.0,Gia Lâm,Hà Nội
16000000000.0,186.0,4.0,3.0,Bình Thạnh,Hồ Chí Minh
3080000000.0,62.7,2.0,2.0,Văn Giang,Hưng Yên
21600000000.0,80.0,0.0,0.0,Đông Anh,Hà Nội
3000000000.0,69.7,2.0,2.0,Dĩ An,Bình Dương
35000000000.0,160.0,0.0,0.0,Bắc Từ Liêm,Hà Nội
45000000000.0,144.0,0.0,0.0,Đông Anh,Hà Nội
16200000000.0,108.0,5.0,6.0,Sơn Trà,Đà Nẵng
10500000000.0,111.2,3.0,2.0,Bình Thạnh,Hồ Chí Minh
9900000000.0,100.0,4.0,3.0,Sơn Trà,Đà Nẵng
2550000000.0,46.3,1.0,1.0,Quận 9,Hồ Chí Minh
12410000000.0,132.0,3.0,0.0,Ngũ Hành Sơn,Đà Nẵng
41500000000.0,70.0,4.0,4.0,Đống Đa,Hà Nội
3330000000.0,70.4,2.0,2.0,Quận 9,Hồ Chí Minh
118000000000.0,307.0,4.0,5.0,Quận 2,Hồ Chí Minh
4400000000.0,75.0,3.0,2.0,Nam Từ Liêm,Hà Nội
6500000000.0,150.0,0.0,0.0,Phổ Yên,Thái Nguyên
4500000000.0,67.0,2.0,2.0,Quận 7,Hồ Chí Minh
6100000000.0,90.0,3.0,2.0,Bắc Từ Liêm,Hà Nội
25000000000.0,162.0,0.0,0.0,Quận 9,Hồ Chí Minh
4600000000.0,70.0,2.0,2.0,Quận 7,Hồ Chí Minh
4200000000.0,72.0,2.0,2.0,Quận 7,Hồ Chí Minh
1650000000.0,66.0,2.0,2.0,Thái Nguyên,Thái Nguyên
7200000000.0,90.0,0.0,0.0,Quận 9,Hồ Chí Minh
3990000000.0,81.0,2.0,2.0,Bình Tân,Hồ Chí Minh
14300000000.0,94.0,1.0,1.0,Quận 2,Hồ Chí Minh
13800000000.0,65.0,2.0,3.0,Đống Đa,Hà Nội
14800000000.0,96.0,0.0,0.0,Đan Phượng,Hà Nội
6000000000.0,60.0,4.0,3.0,Phủ Lý,Hà Nam
1680000000.0,81.0,0.0,0.0,Đức Hòa,Long An
1780000000.0,90.0,0.0,0.0,Biên Hòa,Đồng Nai
25800000000.0,200.0,5.0,5.0,Quận 9,Hồ Chí Minh
1900000000.0,47.0,2.0,2.0,Quận 9,Hồ Chí Minh
6200000000.0,90.0,3.0,2.0,Bắc Từ Liêm,Hà Nội
7100000000.0,76.0,2.0,2.0,Quận 2,Hồ Chí Minh
16000000000.0,77.0,2.0,2.0,Quận 2,Hồ Chí Minh
28000000000.0,80.0,6.0,5.0,Đông Anh,Hà Nội
6000000000.0,7775.0,0.0,0.0,Tân Lạc,Hòa Bình
13900000000.0,87.5,5.0,5.0,Văn Giang,Hưng Yên
11300000000.0,105.0,6.0,5.0,Văn Giang,Hưng Yên
3600000000.0,62.2,2.0,2.0,Sơn Trà,Đà Nẵng
21000000000.0,136.0,8.0,8.0,Văn Giang,Hưng Yên
12800000000.0,164.0,3.0,4.0,Long Biên,Hà Nội
6500000000.0,96.0,2.0,2.0,Tân Phú,Hồ Chí Minh
3280000000.0,61.8,2.0,2.0,Sơn Trà,Đà Nẵng
4470000000.0,71.0,2.0,2.0,Sơn Trà,Đà Nẵng
1200000000.0,45.0,1.0,1.0,Phủ Lý,Hà Nam
2280000000.0,46.4,1.0,1.0,Quận 9,Hồ Chí Minh
9500000000.0,122.0,3.0,2.0,Hà Đông,Hà Nội
16000000000.0,256.0,3.0,3.0,Phúc Yên,Vĩnh Phúc
1830000000.0,100.0,0.0,0.0,Quảng Ngãi,Quảng Ngãi
4080000000.0,82.0,2.0,2.0,Hải Châu,Đà Nẵng
2850000000.0,56.0,2.0,1.0,Bình Tân,Hồ Chí Minh
7000000000.0,99.0,3.0,2.0,Bắc Từ Liêm,Hà Nội
1850000000.0,100.5,0.0,0.0,Long Điền,Bà Rịa Vũng Tàu
3980000000.0,69.0,2.0,2.0,Quận 9,Hồ Chí Minh
350000000.0,110.0,0.0,0.0,Plei Ku,Gia Lai
997500000.0,95.0,0.0,0.0,Vị Thanh,Hậu Giang
6500000000.0,86.0,2.0,2.0,Bình Thạnh,Hồ Chí Minh
47000000000.0,234.0,4.0,4.0,Tây Hồ,Hà Nội
1900000000.0,33.0,0.0,0.0,Cát Hải,Hải Phòng
23500000000.0,150.0,4.0,4.0,Tây Hồ,Hà Nội
2700000000.0,59.0,2.0,2.0,Quận 9,Hồ Chí Minh
95000000000.0,9412.0,0.0,0.0,Thủ Đức,Hồ Chí Minh
4200000000.0,81.0,2.0,2.0,Bình Tân,Hồ Chí Minh
4380000000.0,60.0,0.0,0.0,Hoài Đức,Hà Nội
3250000000.0,54.3,0.0,0.0,Quận 9,Hồ Chí Minh
4500000000.0,79.0,2.0,1.0,Nhà Bè,Hồ Chí Minh
4059999999.9999995,74.0,2.0,2.0,Gia Lâm,Hà Nội
3150000000.0,67.0,2.0,2.0,Quận 9,Hồ Chí Minh
3970000000.0,91.71,3.0,2.0,Vũng Tàu,Bà Rịa Vũng Tàu
10000000000.0,130.0,3.0,2.0,Bình Thạnh,Hồ Chí Minh
4030000000.0000005,76.0,2.0,2.0,Hải Châu,Đà Nẵng
8500000000.0,70.0,2.0,0.0,Quận 1,Hồ Chí Minh
6600000000.0,82.0,2.0,2.0,Bình Thạnh,Hồ Chí Minh
17210000000.0,108.0,0.0,0.0,Sơn Trà,Đà Nẵng
2700000000.0,69.0,0.0,0.0,Thạch Thất,Hà Nội
6600000000.0,108.7,3.0,0.0,Hai Bà Trưng,Hà Nội
26000000000.0,132.0,3.0,2.0,Quận 2,Hồ Chí Minh
15900000000.0,106.0,4.0,3.0,Tây Hồ,Hà Nội
21000000000.0,61.2,1.0,1.0,Hai Bà Trưng,Hà Nội
2800000000.0,65.0,2.0,2.0,Tân Phú,Hồ Chí Minh
8449999999.999999,65.0,6.0,5.0,Văn Giang,Hưng Yên
2520000000.0,73.79,2.0,2.0,Thuận An,Bình Dương
4170000000.0,91.0,3.0,2.0,Quận 9,Hồ Chí Minh
5860000000.0,85.0,2.0,2.0,Tân Phú,Hồ Chí Minh
16450000000.0,96.0,0.0,0.0,Đan Phượng,Hà Nội
10800000000.0,103.3,0.0,0.0,Văn Giang,Hưng Yên
12700000000.0,198.1,0.0,0.0,Ngũ Hành Sơn,Đà Nẵng
10330000000.0,80.0,0.0,0.0,Văn Giang,Hưng Yên
16700000000.0,96.0,0.0,0.0,Đan Phượng,Hà Nội
2250000000.0,100.0,4.0,2.0,Biên Hòa,Đồng Nai
9000000000.0,70.0,6.0,4.0,Văn Giang,Hưng Yên
2390000000.0,61.0,4.0,4.0,Quận 3,Hồ Chí Minh
3900000000.0,50.0,2.0,2.0,Sơn Trà,Đà Nẵng
3440000000.0,62.6,2.0,2.0,Gia Lâm,Hà Nội
58000000000.0,957.9,0.0,0.0,Quận 12,Hồ Chí Minh
3540000000.0,77.0,2.0,2.0,Thuận An,Bình Dương
8000000000.0,80.0,0.0,0.0,Văn Giang,Hưng Yên
13700000000.0,48.0,6.0,6.0,Bắc Từ Liêm,Hà Nội
13560000000.0,70.0,2.0,2.0,Quận 2,Hồ Chí Minh
9150000000.0,68.0,0.0,0.0,Văn Giang,Hưng Yên
7350000000.0,99.0,3.0,2.0,Bắc Từ Liêm,Hà Nội
11000000000.0,94.0,2.0,2.0,Quận 2,Hồ Chí Minh
5610000000.0,102.0,0.0,0.0,Nha Trang,Khánh Hòa
20800000000.0,120.0,0.0,0.0,Đan Phượng,Hà Nội
33000000000.0,170.0,0.0,0.0,Văn Giang,Hưng Yên
6500000000.0,82.0,2.0,2.0,Quận 3,Hồ Chí Minh
11180000000.0,77.0,0.0,0.0,Thủy Nguyên,Hải Phòng
3590000000.0,69.0,2.0,2.0,Quận 9,Hồ Chí Minh
22140000000.0,75.0,0.0,0.0,Đông Anh,Hà Nội
3900000000.0,75.0,2.0,2.0,Quận 9,Hồ Chí Minh
34990000000.0,170.0,34.0,35.0,Đống Đa,Hà Nội
3750000000.0,150.0,0.0,0.0,Phổ Yên,Thái Nguyên
17000000000.0,125.0,0.0,0.0,Thường Tín,Hà Nội
8500000000.0,64.0,4.0,3.0,Văn Giang,Hưng Yên
2069999999.9999998,90.0,0.0,0.0,Bến Lức,Long An
12400000000.0,120.0,2.0,2.0,Tân Bình,Hồ Chí Minh
26500000000.0,190.0,0.0,0.0,Long Biên,Hà Nội
20600000000.0,107.0,3.0,2.0,Quận 1,Hồ Chí Minh
20100000000.0,120.0,0.0,0.0,Văn Giang,Hưng Yên
8000000000.0,145.0,0.0,0.0,Ngũ Hành Sơn,Đà Nẵng
7800000000.0,90.0,0.0,0.0,Quận 9,Hồ Chí Minh
6350000000.0,68.0,4.0,6.0,Thủ Đức,Hồ Chí Minh
4570000000.0,51.3,1.0,1.0,Hải Châu,Đà Nẵng
13000000000.0,354.0,5.0,6.0,Phúc Yên,Vĩnh Phúc
5900000000.0,93.0,2.0,2.0,Bắc Từ Liêm,Hà Nội
27400000000.0,365.0,3.0,3.0,Xuyên Mộc,Bà Rịa Vũng Tàu
4000000000.0,86.0,3.0,2.0,Quận 7,Hồ Chí Minh
4099999999.9999995,80.0,2.0,2.0,Quận 9,Hồ Chí Minh
5200000000.0,110.0,3.0,2.0,Quận 7,Hồ Chí Minh
2650000000.0,73.0,2.0,2.0,Dĩ An,Bình Dương
19920000000.0,96.0,6.0,4.0,Đan Phượng,Hà Nội
2400000000.0,31.0,0.0,0.0,Quận 9,Hồ Chí Minh
3000000000.0,76.0,2.0,2.0,Vũng Tàu,Bà Rịa Vũng Tàu
29700000000.0,135.0,5.0,5.0,Đông Anh,Hà Nội
15000000000.0,500.0,3.0,4.0,Phan Thiết,Bình Thuận
7600000000.0,149.3,5.0,4.0,Quận 9,Hồ Chí Minh
8600000000.0,103.0,2.0,2.0,Quận 2,Hồ Chí Minh
3350000000.0,67.0,2.0,2.0,Quận 9,Hồ Chí Minh
9200000000.0,117.8,4.0,2.0,Sơn Trà,Đà Nẵng
17800000000.0,120.0,6.0,5.0,Văn Giang,Hưng Yên
2800000000.0,60.0,2.0,2.0,Quận 9,Hồ Chí Minh
3380000000.0,72.0,2.0,2.0,Vũng Tàu,Bà Rịa Vũng Tàu
2700000000.0,56.0,2.0,1.0,Bình Tân,Hồ Chí Minh
10200000000.0,84.0,0.0,0.0,Văn Giang,Hưng Yên
4400000000.0,77.0,2.0,0.0,Hà Đông,Hà Nội
5500000000.0,74.0,2.0,2.0,Long Biên,Hà Nội
21000000000.0,120.0,0.0,0.0,Đan Phượng,Hà Nội
13200000000.0,88.0,0.0,0.0,Đan Phượng,Hà Nội
2250000000.0,60.0,2.0,2.0,Thanh Hóa,Thanh Hóa
49200000000.0,228.0,5.0,4.0,Đan Phượng,Hà Nội
26700000000.0,122.7,6.0,5.0,Đan Phượng,Hà Nội
5450000000.0,117.0,0.0,0.0,Biên Hòa,Đồng Nai
23500000000.0,150.0,0.0,0.0,Gia Lâm,Hà Nội
17000000000.0,78.9,0.0,0.0,Thường Tín,Hà Nội
2400000000.0,45.0,1.0,1.0,Gia Lâm,Hà Nội
590000000.0,110.0,0.0,0.0,Lâm Hà,Lâm Đồng
5980000000.0,72.11,2.0,0.0,Thanh Xuân,Hà Nội
4590000000.0,87.0,2.0,2.0,Tân Phú,Hồ Chí Minh
12000000000.0,300.0,4.0,4.0,Bến Lức,Long An
14800000000.0,300.0,0.0,0.0,Biên Hòa,Đồng Nai
15000000000.0,96.0,5.0,5.0,Quận 9,Hồ Chí Minh
4000000000.0,64.0,2.0,2.0,Nam Từ Liêm,Hà Nội
4179999999.9999995,80.0,2.0,2.0,Quận 9,Hồ Chí Minh
18100000000.0,96.0,4.0,5.0,Đan Phượng,Hà Nội
8500000000.0,108.0,3.0,0.0,Long Biên,Hà Nội
17000000000.0,96.0,0.0,0.0,Văn Giang,Hưng Yên
13900000000.0,91.0,2.0,2.0,Quận 2,Hồ Chí Minh
17000000000.0,62.5,4.0,4.0,Đông Anh,Hà Nội
3000000000.0,68.0,2.0,2.0,Quận 7,Hồ Chí Minh
18500000000.0,94.0,2.0,2.0,Quận 2,Hồ Chí Minh
6700000000.0,86.0,2.0,2.0,Quận 2,Hồ Chí Minh
31000000000.0,160.0,0.0,0.0,Văn Giang,Hưng Yên
5660000000.0,96.0,2.0,2.0,Tân Phú,Hồ Chí Minh
11000000000.0,230.0,4.0,4.0,Văn Giang,Hưng Yên
17700000000.0,120.0,0.0,0.0,Văn Giang,Hưng Yên
31720000000.0,107.9,0.0,0.0,Đông Anh,Hà Nội
8910000000.0,135.0,3.0,2.0,Bắc Từ Liêm,Hà Nội
4890000000.0,96.0,3.0,2.0,Văn Giang,Hưng Yên
4300000000.0,60.0,4.0,4.0,Dĩ An,Bình Dương
7000000000.0,100.0,3.0,0.0,Tây Hồ,Hà Nội
194760000000.0,269.3,8.0,8.0,Đông Anh,Hà Nội
1700000000.0,75.0,2.0,1.0,Thuận An,Bình Dương
12800000000.0,165.0,2.0,0.0,Long Biên,Hà Nội
6060000000.0,101.0,3.0,2.0,Long Biên,Hà Nội
7500000000.0,25.1,4.0,5.0,Quận 5,Hồ Chí Minh
7500000000.0,56.0,7.0,6.0,Văn Giang,Hưng Yên
5800000000.0,80.3,2.0,2.0,Bắc Từ Liêm,Hà Nội
3450000000.0,61.0,2.0,2.0,Văn Giang,Hưng Yên
35000000000.0,205.0,6.0,6.0,Văn Giang,Hưng Yên
3050000000.0,63.0,2.0,2.0,Văn Giang,Hưng Yên
6500000000.0,52.0,1.0,1.0,Quận 1,Hồ Chí Minh
10900000000.0,60.0,2.0,2.0,Quận 3,Hồ Chí Minh
7430000000.0,92.0,3.0,2.0,Đông Anh,Hà Nội
38000000000.0,198.0,4.0,4.0,Hà Đông,Hà Nội
21700000000.0,96.0,0.0,0.0,Văn Giang,Hưng Yên
33000000000.0,95.0,4.0,4.0,Quận 2,Hồ Chí Minh
3500000000.0,80.0,4.0,3.0,Bến Lức,Long An
24000000000.0,75.0,0.0,0.0,Đông Anh,Hà Nội
3000000000.0,70.0,4.0,3.0,Bến Lức,Long An
16000000000.0,86.0,2.0,0.0,Quận 2,Hồ Chí Minh
7370000000.0,189.0,0.0,0.0,Quận 9,Hồ Chí Minh
2290000000.0,52.0,4.0,3.0,Bình Thạnh,Hồ Chí Minh
15200000000.0,309.0,5.0,5.0,Thạch Thất,Hà Nội
1490000000.0,56.0,2.0,2.0,Quận 8,Hồ Chí Minh
25000000000.0,77.0,6.0,6.0,Long Biên,Hà Nội
5500000000.0,90.3,3.0,2.0,Gia Lâm,Hà Nội
136000000000.0,212.5,8.0,8.0,Đông Anh,Hà Nội
3180000000.0,318.0,0.0,0.0,Hóc Môn,Hồ Chí Minh
5000000000.0,76.0,2.0,2.0,Hà Đông,Hà Nội
5600000000.0,105.0,0.0,0.0,Sóc Sơn,Hà Nội
17000000000.0,108.0,0.0,0.0,Sơn Trà,Đà Nẵng
6000000000.0,96.0,2.0,2.0,Tân Phú,Hồ Chí Minh
6400000000.0,129.0,4.0,3.0,Hai Bà Trưng,Hà Nội
56000000000.0,160.0,4.0,0.0,Quận 1,Hồ Chí Minh
21500000000.0,100.0,0.0,0.0,Gò Vấp,Hồ Chí Minh
5800000000.0,86.0,2.0,2.0,Tân Phú,Hồ Chí Minh
10000000000.0,90.0,0.0,0.0,Thủy Nguyên,Hải Phòng
22000000000.0,320.0,0.0,0.0,Nhơn Trạch,Đồng Nai
6500000000.0,55.0,1.0,0.0,Quận 2,Hồ Chí Minh
25200000000.0,110.0,3.0,3.0,Bắc Từ Liêm,Hà Nội
21000000000.0,118.0,7.0,5.0,Văn Giang,Hưng Yên
21600000000.0,118.0,0.0,0.0,Văn Giang,Hưng Yên
3200000000.0,40.0,0.0,0.0,Sơn Trà,Đà Nẵng
12000000000.0,300.0,4.0,3.0,Bến Lức,Long An
5400000000.0,110.0,4.0,2.0,Ba Đình,Hà Nội
2500000000.0,59.0,2.0,0.0,Quận 9,Hồ Chí Minh
10800000000.0,90.0,0.0,0.0,Văn Giang,Hưng Yên
17000000000.0,120.0,0.0,0.0,Văn Giang,Hưng Yên
25000000000.0,150.0,0.0,0.0,Gia Lâm,Hà Nội
4800000000.0,11547.0,0.0,0.0,Châu Thành,Tây Ninh
23000000000.0,110.0,3.0,2.0,Quận 2,Hồ Chí Minh
3450000000.0,59.8,2.0,2.0,Sơn Trà,Đà Nẵng
22110000000.0,130.0,0.0,0.0,Đan Phượng,Hà Nội
7150000000.0,250.0,5.0,5.0,Bến Cát,Bình Dương
5000000000.0,68.6,0.0,0.0,Gia Lâm,Hà Nội
25000000000.0,94.0,2.0,2.0,Quận 2,Hồ Chí Minh
5670000000.0,109.0,0.0,0.0,Thạch Thất,Hà Nội
6560000000.0,108.0,3.0,2.0,Hai Bà Trưng,Hà Nội
24000000000.0,694.0,0.0,0.0,Quận 12,Hồ Chí Minh
17500000000.0,300.0,5.0,7.0,Mê Linh,Hà Nội
3600000000.0,77.2,3.0,2.0,Đông Anh,Hà Nội
4660000000.0,82.0,3.0,2.0,Quận 9,Hồ Chí Minh
3300000000.0,68.0,2.0,2.0,Đông Anh,Hà Nội
1000000000.0,100.0,0.0,0.0,Nhơn Trạch,Đồng Nai
5980000000.0,52.0,0.0,0.0,Quận 9,Hồ Chí Minh
1720000000.0,60.0,2.0,2.0,Liên Chiểu,Đà Nẵng
7400000000.0,100.0,4.0,4.0,Quận 9,Hồ Chí Minh
3600000000.0,77.0,3.0,2.0,Đông Anh,Hà Nội
5400000000.0,60.0,6.0,6.0,Phủ Lý,Hà Nam
7000000000.0,80.0,1.0,1.0,Quận 12,Hồ Chí Minh
4400000000.0,27.0,4.0,3.0,Gò Vấp,Hồ Chí Minh
