Width,Length,Bedrooms,Bathrooms,District,Province,Price
60.0,12.0,5,6,phu nhuan,tp ho chi minh,9880000000
36.0,20.0,8,10,tan binh,tp ho chi minh,98000000000
60.0,12.0,5,6,quan 10,tp ho chi minh,6700000000
16.0,45.0,10,10,quan 6,tp ho chi minh,100000000000
40.0,18.0,5,6,phu quoc,kien giang,9200000000
15.0,48.0,3,2,giong trom,ben tre,5300000000
48.0,15.0,5,6,tan binh,tp ho chi minh,4200000000
36.0,20.0,5,6,thai nguyen,thai nguyen,1900000000
60.0,12.0,5,6,quan 10,tp ho chi minh,3600000000
60.0,12.0,5,6,phu nhuan,tp ho chi minh,8850000000
36.0,20.0,3,3,tan an,long an,2500000000
48.0,15.0,5,6,tan binh,tp ho chi minh,3700000000
23.0,34.0,4,3,vung tau,ba ria-vung tau,80000000000
23.0,34.0,4,3,vung tau,ba ria-vung tau,80000000000
10.0,81.0,4,4,da lat,lam dong,12500000000
4.0,2.0,2,2,tan binh,tp ho chi minh,12800000000
4.0,2.0,2,2,hai ba trung,ha noi,2550000000
1.0,8.0,3,4,binh tan,tp ho chi minh,1750000000
2.3,3.5,2,1,phu nhuan,tp ho chi minh,1450000000
6.5,10.3,3,3,tay ho,ha noi,4500000000
4.2,16.0,4,3,binh chanh,tp ho chi minh,1900000000
6.5,10.3,3,2,tay ho,ha noi,4300000000
3.7,18.0,4,4,tay ho,ha noi,6100000000
6.5,10.3,4,2,tay ho,ha noi,5300000000
4.8,14.0,5,7,cau giay,ha noi,14200000000
4.0,16.8,3,3,vung tau,ba ria-vung tau,3100000000
6.5,10.3,4,4,tay ho,ha noi,24500000000
3.7,18.0,3,2,hoan kiem,ha noi,14300000000
5.0,13.4,4,3,ha dong,ha noi,7300000000
3.5,19.0,4,2,quan 7,tp ho chi minh,7700000000
5.6,12.0,3,3,thu duc,tp ho chi minh,1500000000
5.0,13.4,3,2,binh thanh,tp ho chi minh,1260000000
5.0,13.48,7,7,lien chieu,da nang,3050000000
3.5,19.0,3,3,phu nhuan,tp ho chi minh,5700000000
4.8,14.0,3,3,binh tan,tp ho chi minh,5100000000
5.0,13.3,2,3,quan 3,tp ho chi minh,1750000000
6.5,10.3,2,2,tay ho,ha noi,5300000000
6.7,10.0,4,4,cau giay,ha noi,4950000000
4.2,16.0,3,3,tan phu,tp ho chi minh,5500000000
6.1,11.0,5,5,dong da,ha noi,16300000000
6.05,11.0,3,3,long bien,ha noi,2350000000
4.5,14.8,2,1,hoc mon,tp ho chi minh,1150000000
3.7,18.0,2,1,bien hoa,dong nai,1800000000
4.0,16.75,2,2,quan 12,tp ho chi minh,1100000000
6.1,11.0,3,3,binh thanh,tp ho chi minh,5600000000
5.0,13.4,3,3,phu nhuan,tp ho chi minh,1160000000
4.2,16.0,4,5,nha be,tp ho chi minh,5100000000
4.2,16.0,4,6,tan binh,tp ho chi minh,14500000000
4.2,16.0,4,5,tan phu,tp ho chi minh,7200000000
4.2,16.0,3,3,binh thanh,tp ho chi minh,5500000000
3.6,18.61,6,6,hai ba trung,ha noi,11000000000
4.5,14.9,3,4,vung tau,ba ria-vung tau,6100000000
3.2,21.0,3,2,phu nhuan,tp ho chi minh,6499000000
4.2,16.0,4,5,thu duc,tp ho chi minh,3500000000
4.2,16.0,3,3,quan 3,tp ho chi minh,32000000000
4.2,16.0,5,4,quan 5,tp ho chi minh,10800000000
3.5,19.0,2,3,bien hoa,dong nai,2300000000
6.7,10.0,3,3,dong da,ha noi,68000000000
6.7,10.0,2,3,hai ba trung,ha noi,12000000000
4.2,16.0,2,1,quan 12,tp ho chi minh,950000000
4.0,16.7,4,5,thu duc,tp ho chi minh,6000000000
3.95,17.0,3,3,quan 1,tp ho chi minh,43500000000
6.1,11.0,4,3,ba dinh,ha noi,16000000000
3.95,17.0,4,5,quan 5,tp ho chi minh,10700000000
7.0,9.5,4,4,vung tau,ba ria-vung tau,4900000000
4.2,16.0,3,4,quan 3,tp ho chi minh,12000000000
4.2,16.0,4,3,thu duc,tp ho chi minh,4650000000
4.2,16.0,3,2,ba dinh,ha noi,3700000000
3.5,19.15,5,4,ba dinh,ha noi,7200000000
4.0,16.75,4,3,thu duc,tp ho chi minh,3250000000
4.8,14.0,2,2,quan 12,tp ho chi minh,1180000000
6.7,10.0,3,3,cau giay,ha noi,4950000000
4.2,16.0,8,8,da lat,lam dong,27000000000
4.8,14.0,5,6,quan 10,tp ho chi minh,7200000000
6.7,10.0,3,3,vung tau,ba ria-vung tau,6800000000
4.0,16.75,4,3,thu duc,tp ho chi minh,3550000000
6.7,10.0,3,3,nam tu liem,ha noi,2700000000
4.2,16.0,3,2,thanh khe,da nang,8400000000
6.9,9.71,8,8,dong da,ha noi,7100000000
4.2,16.0,5,6,binh thanh,tp ho chi minh,12200000000
4.2,16.0,6,3,tan binh,tp ho chi minh,6800000000
4.2,16.0,4,4,ba dinh,ha noi,8050000000
4.2,16.0,6,4,dong da,ha noi,7950000000
4.2,16.0,3,3,binh tan,tp ho chi minh,5200000000
3.7,18.0,3,3,hoc mon,tp ho chi minh,1750000000
6.7,10.0,3,3,ha dong,ha noi,3550000000
4.8,14.0,2,2,phu nhuan,tp ho chi minh,1320000000
4.2,16.0,3,3,vung tau,ba ria-vung tau,11800000000
7.0,9.5,6,4,nam tu liem,ha noi,4850000000
4.2,16.0,3,3,quan 8,tp ho chi minh,7700000000
5.0,13.4,3,3,phu nhuan,tp ho chi minh,1180000000
6.7,10.0,3,3,nam tu liem,ha noi,2700000000
5.0,13.4,3,3,quan 10,tp ho chi minh,1300000000
6.7,10.0,1,1,tay ho,ha noi,3250000000
4.0,16.8,4,4,thu duc,tp ho chi minh,5300000000
5.5,12.1,1,1,thu duc,tp ho chi minh,3000000000
6.7,10.0,5,5,dong da,ha noi,5800000000
4.8,14.0,2,2,quan 10,tp ho chi minh,7500000000
4.45,15.0,2,2,thu duc,tp ho chi minh,1130000000
4.18,16.0,2,2,da lat,lam dong,3000000000
6.5,10.3,5,3,tay ho,ha noi,22000000000
4.05,16.5,3,3,quan 10,tp ho chi minh,17000000000
4.8,14.0,3,3,phu nhuan,tp ho chi minh,1200000000
5.0,13.4,2,2,phu nhuan,tp ho chi minh,1250000000
6.5,10.3,4,4,tay ho,ha noi,4100000000
6.5,10.3,2,2,tay ho,ha noi,4600000000
5.0,13.4,2,2,binh thanh,tp ho chi minh,1390000000
3.7,18.0,3,3,quan 10,tp ho chi minh,12000000000
4.2,16.0,3,4,vung tau,ba ria-vung tau,3750000000
3.7,18.0,3,3,quan 10,tp ho chi minh,12500000000
7.0,9.5,4,4,dong da,ha noi,10500000000
3.5,19.0,5,6,binh thanh,tp ho chi minh,7600000000
4.2,16.0,3,3,tan binh,tp ho chi minh,9700000000
6.7,10.0,3,3,thanh xuan,ha noi,3500000000
6.5,10.3,10,3,tay ho,ha noi,39000000000
6.7,10.0,3,3,thanh xuan,ha noi,4500000000
6.2,10.8,3,4,quan 8,tp ho chi minh,5950000000
4.5,14.8,4,3,ngo quyen,hai phong,3550000000
4.2,16.0,3,3,phu nhuan,tp ho chi minh,13200000000
3.5,19.0,4,2,quan 7,tp ho chi minh,7800000000
4.2,16.0,4,3,ha dong,ha noi,5300000000
4.4,15.2,2,2,ba dinh,ha noi,7500000000
3.2,21.0,3,3,go vap,tp ho chi minh,4599000000
6.5,10.3,5,3,tay ho,ha noi,16500000000
4.2,16.0,3,3,tan binh,tp ho chi minh,9900000000
6.1,11.0,2,2,long bien,ha noi,5300000000
4.2,16.0,3,3,binh chanh,tp ho chi minh,876000000
4.2,16.0,3,3,quan 10,tp ho chi minh,14000000000
4.2,16.0,6,6,binh thanh,tp ho chi minh,17500000000
4.2,16.0,3,3,hoan kiem,ha noi,12000000000
6.5,10.3,3,3,tay ho,ha noi,4300000000
5.6,12.0,4,3,long bien,ha noi,5300000000
4.8,14.0,3,3,quan 10,tp ho chi minh,14200000000
4.2,16.0,13,3,quan 1,tp ho chi minh,17500000000
4.2,16.0,3,3,tan binh,tp ho chi minh,9000000000
5.0,13.4,2,2,binh thanh,tp ho chi minh,1500000000
4.2,16.0,5,5,long bien,ha noi,2800000000
7.0,9.5,3,3,an duong,hai phong,1295000000
5.6,12.0,2,3,lien chieu,da nang,2550000000
5.0,13.3,3,2,thu duc,tp ho chi minh,1220000000
6.5,10.3,14,3,tay ho,ha noi,39000000000
4.2,16.0,4,4,quan 10,tp ho chi minh,22500000000
4.5,14.8,2,1,hoc mon,tp ho chi minh,1100000000
4.8,14.0,2,2,phu nhuan,tp ho chi minh,1420000000
4.2,16.0,3,5,tan binh,tp ho chi minh,9000000000
4.6,14.5,4,3,thu duc,tp ho chi minh,4750000000
3.2,21.0,3,3,hai chau,da nang,13500000000
4.2,16.0,3,3,binh tan,tp ho chi minh,5900000000
3.5,19.0,5,3,quan 10,tp ho chi minh,12900000000
4.2,16.0,3,3,binh chanh,tp ho chi minh,16500000000
5.0,13.4,2,2,binh thanh,tp ho chi minh,1250000000
4.8,14.0,2,2,kien an,hai phong,1300000000
3.5,19.0,4,3,quan 10,tp ho chi minh,7650000000
4.0,16.7,5,5,quan 7,tp ho chi minh,5600000000
6.5,10.3,3,3,tay ho,ha noi,5300000000
4.2,16.0,6,6,go vap,tp ho chi minh,5500000000
4.8,14.0,3,4,vung tau,ba ria-vung tau,4500000000
6.3,10.7,10,5,hai ba trung,ha noi,8100000000
4.3,15.6,3,3,thu duc,tp ho chi minh,4900000000
4.0,17.5,2,2,thu duc,tp ho chi minh,3900000000
7.0,10.0,4,5,bac tu liem,ha noi,23000000000
5.0,14.0,4,5,thuan an,binh duong,2500000000
4.5,15.6,4,4,ba dinh,ha noi,12000000000
5.0,14.0,4,4,dong da,ha noi,5750000000
7.0,10.0,4,3,ha dong,ha noi,8500000000
7.0,10.0,5,3,dong da,ha noi,11500000000
7.0,10.0,9,3,dong da,ha noi,6500000000
7.0,10.0,8,8,dong da,ha noi,73000000000
7.4,9.5,2,2,cai rang,can tho,2290000000
7.0,10.0,4,3,nam tu liem,ha noi,38000000000
5.0,14.0,3,3,hue,thua thien-hue,8500000000
3.5,20.0,4,5,quan 11,tp ho chi minh,13500000000
5.0,14.0,2,2,quan 10,tp ho chi minh,1220000000
7.0,10.0,3,4,ba dinh,ha noi,4600000000
5.0,14.0,3,2,quan 1,tp ho chi minh,3150000000
7.0,10.0,6,4,thanh xuan,ha noi,9500000000
5.0,14.0,3,3,binh thanh,tp ho chi minh,1150000000
5.0,14.0,2,2,quan 3,tp ho chi minh,1200000000
5.0,14.0,4,3,ba dinh,ha noi,9000000000
5.0,14.0,2,2,quan 10,tp ho chi minh,1400000000
5.0,14.0,6,6,tay ho,ha noi,5940000000
4.0,17.5,4,5,quan 7,tp ho chi minh,11800000000
5.0,14.0,2,2,quan 12,tp ho chi minh,865000000
7.8,9.0,5,5,nam tu liem,ha noi,3850000000
5.0,14.0,5,3,ninh kieu,can tho,4090000000
7.0,10.0,7,7,quan 11,tp ho chi minh,15000000000
5.0,14.0,3,2,bien hoa,dong nai,2200000000
7.0,10.0,5,5,dong da,ha noi,12000000000
5.0,14.0,22,2,thu duc,tp ho chi minh,970000000
5.0,14.0,3,2,quan 5,tp ho chi minh,1170000000
7.0,10.0,8,8,quan 3,tp ho chi minh,8200000000
7.0,10.0,4,3,quan 10,tp ho chi minh,11500000000
7.0,10.0,4,3,cau giay,ha noi,11500000000
7.0,10.0,4,3,thanh xuan,ha noi,5999000000
7.0,10.0,4,3,hai ba trung,ha noi,4550000000
4.0,17.6,2,2,tan phu,tp ho chi minh,9200000000
5.0,14.0,4,3,binh thanh,tp ho chi minh,1250000000
5.0,14.0,2,3,binh thanh,tp ho chi minh,900000000
3.2,22.0,3,4,vung tau,ba ria-vung tau,3500000000
5.0,14.0,4,3,quan 7,tp ho chi minh,980000000
7.0,10.0,4,4,bac tu liem,ha noi,4700000000
5.0,14.0,3,4,go vap,tp ho chi minh,4400000000
5.0,14.0,6,7,tay ho,ha noi,6500000000
5.0,14.0,2,1,quan 11,tp ho chi minh,990000000
5.0,14.0,4,3,quan 12,tp ho chi minh,1150000000
4.0,17.5,3,3,thu duc,tp ho chi minh,5650000000
5.0,14.0,3,3,go vap,tp ho chi minh,1270000000
7.0,10.0,8,8,dong da,ha noi,7700000000
5.0,14.0,2,2,binh thanh,tp ho chi minh,1300000000
7.0,10.0,3,3,dong da,ha noi,3650000000
5.0,14.0,2,2,bien hoa,dong nai,5800000000
5.0,14.0,3,2,quan 11,tp ho chi minh,1120000000
4.0,17.5,2,3,buon ma thuot,dak lak,6500000000
4.5,15.5,9,9,quan 3,tp ho chi minh,15000000000
4.0,17.5,4,3,thanh khe,da nang,3500000000
5.0,14.0,4,3,ben luc,long an,2800000000
7.0,10.0,2,2,nam tu liem,ha noi,4000000000
5.0,14.0,2,2,go vap,tp ho chi minh,1200000000
5.0,14.0,3,2,ben cat,binh duong,350000000
5.0,14.0,3,3,thuan an,binh duong,1450000000
7.0,10.0,4,5,dong da,ha noi,11900000000
3.2,22.0,4,3,binh thanh,tp ho chi minh,9700000000
3.5,20.0,2,2,quan 10,tp ho chi minh,5000000000
7.0,10.0,5,4,thanh xuan,ha noi,6900000000
7.0,10.0,2,2,hai ba trung,ha noi,2050000000
5.0,14.0,4,3,binh thanh,tp ho chi minh,1200000000
7.0,10.0,4,3,ba dinh,ha noi,22000000000
7.0,10.0,4,3,ba dinh,ha noi,7700000000
7.0,10.0,2,2,hai ba trung,ha noi,2250000000
7.0,10.0,6,4,dong da,ha noi,18000000000
5.0,14.0,5,5,go vap,tp ho chi minh,4600000000
5.0,14.0,3,4,da lat,lam dong,3900000000
5.0,14.0,2,2,quan 1,tp ho chi minh,2800000000
5.0,14.0,5,5,quan 7,tp ho chi minh,4700000000
5.0,14.0,2,1,quan 12,tp ho chi minh,4300000000
6.0,11.6,4,3,vung tau,ba ria-vung tau,25000000000
5.0,14.0,1,2,bien hoa,dong nai,5800000000
3.5,20.0,3,3,ba dinh,ha noi,11100000000
3.9,18.0,4,3,quan 7,tp ho chi minh,10200000000
7.0,10.0,3,3,dong da,ha noi,5200000000
5.0,14.0,2,2,hoc mon,tp ho chi minh,1650000000
4.4,16.0,5,5,phu nhuan,tp ho chi minh,10500000000
5.0,14.0,4,4,quan 1,tp ho chi minh,8500000000
5.0,14.0,4,3,tan binh,tp ho chi minh,7700000000
5.0,14.0,3,3,quan 3,tp ho chi minh,1360000000
5.0,14.0,10,10,thanh xuan,ha noi,21000000000
5.0,14.0,2,2,tan binh,tp ho chi minh,1250000000
5.0,14.0,4,3,quan 11,tp ho chi minh,995000000
5.0,14.0,3,2,vinh cuu,dong nai,770000000
7.0,10.0,3,4,ba dinh,ha noi,3000000000
4.0,17.5,4,3,tan binh,tp ho chi minh,10500000000
4.1,17.0,4,5,thu duc,tp ho chi minh,6400000000
7.0,10.0,4,3,hoang mai,ha noi,8700000000
3.5,20.0,1,1,tan phu,tp ho chi minh,7800000000
7.0,10.0,3,4,thanh xuan,ha noi,2860000000
7.0,10.0,3,3,dong da,ha noi,5200000000
5.0,14.0,2,2,thu duc,tp ho chi minh,3500000000
5.0,14.0,3,2,go vap,tp ho chi minh,1360000000
7.0,10.0,4,4,hai ba trung,ha noi,4050000000
5.0,14.0,4,5,hue,thua thien-hue,8500000000
5.0,14.0,3,3,binh thanh,tp ho chi minh,4300000000
5.0,14.0,4,5,go vap,tp ho chi minh,8600000000
7.0,10.0,4,3,hoang mai,ha noi,4400000000
5.0,14.0,4,4,tan phu,tp ho chi minh,5000000000
5.0,14.0,3,2,cau giay,ha noi,5000000000
5.0,14.0,6,3,cau giay,ha noi,14000000000
7.0,10.0,1,3,hoang mai,ha noi,2850000000
5.0,14.0,3,2,can duoc,long an,1100000000
5.0,14.0,2,3,quan 10,tp ho chi minh,1400000000
7.0,10.0,3,3,ba dinh,ha noi,75500000000
7.0,10.0,2,2,thanh xuan,ha noi,2800000000
5.0,14.0,2,2,can giuoc,long an,1200000000
4.0,17.6,5,5,tan phu,tp ho chi minh,9300000000
7.0,10.0,4,3,thanh xuan,ha noi,3100000000
4.0,17.5,3,3,vung tau,ba ria-vung tau,7800000000
5.5,12.7,3,3,ba dinh,ha noi,21000000000
5.0,14.0,2,2,quan 3,tp ho chi minh,1390000000
7.0,10.0,8,3,hai ba trung,ha noi,29000000000
7.0,10.0,4,3,thanh xuan,ha noi,8200000000
5.0,14.0,2,1,quan 3,tp ho chi minh,1200000000
7.0,10.0,3,2,nam tu liem,ha noi,3250000000
5.0,14.0,4,3,quan 10,tp ho chi minh,1200000000
5.0,14.0,3,3,phu nhuan,tp ho chi minh,1280000000
3.5,20.0,4,3,quan 7,tp ho chi minh,8500000000
7.0,10.0,4,4,thu duc,tp ho chi minh,7750000000
7.0,10.0,4,3,thanh xuan,ha noi,5100000000
5.0,14.0,4,4,tay ho,ha noi,4980000000
8.4,8.33,12,3,ba dinh,ha noi,13900000000
5.0,14.0,4,5,quan 3,tp ho chi minh,1360000000
7.0,10.0,2,2,dong da,ha noi,41000000000
5.0,14.0,5,5,phu nhuan,tp ho chi minh,7800000000
3.5,20.0,4,3,tan binh,tp ho chi minh,11500000000
7.0,10.0,4,5,binh tan,tp ho chi minh,3890000000
5.0,14.0,3,3,hong bang,hai phong,2999000000
7.0,10.0,2,3,thanh xuan,ha noi,8350000000
7.0,10.0,4,3,hai ba trung,ha noi,4800000000
5.0,14.0,4,3,hai ba trung,ha noi,29000000000
5.0,14.0,3,2,quan 1,tp ho chi minh,4900000000
4.6,15.2,3,3,dong da,ha noi,18500000000
5.0,14.0,4,3,vung tau,ba ria-vung tau,5800000000
7.0,10.0,2,2,ba dinh,ha noi,3950000000
5.0,14.0,3,3,hoang mai,ha noi,7700000000
3.5,20.0,4,3,tan binh,tp ho chi minh,11600000000
7.0,10.0,5,3,nam tu liem,ha noi,15300000000
4.4,15.9,3,3,phu nhuan,tp ho chi minh,13000000000
4.5,15.5,3,3,tan phu,tp ho chi minh,7300000000
5.0,14.0,2,3,tan phu,tp ho chi minh,4800000000
5.0,14.0,2,2,binh thanh,tp ho chi minh,1350000000
5.0,14.0,3,2,thu duc,tp ho chi minh,1215000000
7.0,10.0,4,3,cau giay,ha noi,10200000000
7.0,10.0,4,3,hai ba trung,ha noi,15000000000
4.0,17.4,4,3,tan phu,tp ho chi minh,8500000000
5.0,14.0,2,3,quan 5,tp ho chi minh,1300000000
7.0,10.0,4,4,ha dong,ha noi,3800000000
7.0,10.0,4,3,nam tu liem,ha noi,3400000000
5.0,14.0,6,6,binh thanh,tp ho chi minh,15800000000
5.0,14.0,2,2,quan 5,tp ho chi minh,1300000000
7.0,10.0,4,3,cau giay,ha noi,28800000000
5.0,14.0,4,3,long bien,ha noi,5800000000
4.0,17.5,3,3,vung tau,ba ria-vung tau,7800000000
7.0,10.0,6,5,quan 3,tp ho chi minh,20000000000
5.0,14.0,5,5,dong da,ha noi,5500000000
7.0,10.0,1,1,thanh xuan,ha noi,4200000000
5.0,14.0,3,3,thu duc,tp ho chi minh,1550000000
5.0,14.0,2,5,phu nhuan,tp ho chi minh,18900000000
6.4,11.0,3,3,long bien,ha noi,3000000000
5.0,14.0,3,4,go vap,tp ho chi minh,4800000000
7.0,10.0,4,3,ba dinh,ha noi,3100000000
5.0,14.0,1,1,thu duc,tp ho chi minh,960000000
5.0,14.0,4,3,quan 5,tp ho chi minh,1500000000
5.0,14.0,2,2,binh thanh,tp ho chi minh,1200000000
7.0,10.0,4,3,dong da,ha noi,13800000000
7.0,10.0,4,3,hai ba trung,ha noi,4800000000
4.5,15.5,2,3,tan binh,tp ho chi minh,1650000000
7.0,10.0,5,3,dong da,ha noi,8800000000
5.0,14.0,5,4,quan 5,tp ho chi minh,18000000000
5.0,14.0,2,1,quan 8,tp ho chi minh,950000000
7.0,10.0,4,3,nam tu liem,ha noi,4850000000
7.0,10.0,4,3,ha dong,ha noi,9000000000
4.0,17.5,2,2,tan phu,tp ho chi minh,5500000000
5.0,14.0,3,2,quan 7,tp ho chi minh,6200000000
7.0,10.0,3,3,hai ba trung,ha noi,3000000000
5.0,14.0,3,3,thanh khe,da nang,5000000000
5.0,14.0,3,3,thu dau mot,binh duong,1690000000
5.0,14.0,6,7,binh thanh,tp ho chi minh,13000000000
5.0,14.0,2,1,thu duc,tp ho chi minh,1400000000
7.0,10.0,4,4,thu duc,tp ho chi minh,4700000000
5.0,14.0,5,7,quan 5,tp ho chi minh,21000000000
5.0,14.0,2,2,binh thanh,tp ho chi minh,920000000
7.0,10.0,4,3,ha dong,ha noi,4200000000
5.0,14.0,2,2,hoc mon,tp ho chi minh,1000000000
7.0,10.0,4,4,cau giay,ha noi,8200000000
5.0,14.0,2,2,go vap,tp ho chi minh,1170000000
7.0,10.0,4,3,dong da,ha noi,10900000000
5.0,14.0,4,3,tan phu,tp ho chi minh,6500000000
5.0,14.0,3,3,quan 3,tp ho chi minh,7850000000
5.0,14.0,4,3,quan 1,tp ho chi minh,19800000000
5.0,14.0,3,3,ninh kieu,can tho,5490000000
7.0,10.0,4,3,thanh xuan,ha noi,14500000000
7.0,10.0,6,3,dong da,ha noi,19500000000
5.0,14.0,3,2,quan 12,tp ho chi minh,1580000000
5.0,14.0,3,3,tan binh,tp ho chi minh,5600000000
5.0,14.0,2,2,tan uyen,binh duong,1200000000
7.0,10.0,4,3,cau giay,ha noi,3600000000
7.0,10.0,4,4,nam tu liem,ha noi,4150000000
7.0,10.0,3,5,hai ba trung,ha noi,12800000000
5.0,14.0,4,5,hai ba trung,ha noi,29800000000
7.0,10.0,4,4,dong da,ha noi,11500000000
3.8,18.5,9,7,quan 10,tp ho chi minh,11000000000
5.0,14.0,3,3,vung tau,ba ria-vung tau,5800000000
5.0,14.0,2,2,thanh xuan,ha noi,4000000000
5.0,14.0,9,10,phu nhuan,tp ho chi minh,7300000000
5.0,14.0,4,5,quan 12,tp ho chi minh,4500000000
5.0,14.0,4,3,quan 5,tp ho chi minh,1050000000
5.0,14.0,2,2,quan 11,tp ho chi minh,1150000000
7.0,10.0,4,4,cau giay,ha noi,8000000000
4.6,15.3,3,3,go vap,tp ho chi minh,6500000000
5.0,14.0,2,2,quan 10,tp ho chi minh,1200000000
4.5,15.5,4,3,ben tre,ben tre,2487000000
